source_excel,report_id,analyzer_model,analyzer_id,intervention_type,symptoms_reported,root_cause,actions_taken,spare_part_use,spare_part_sn,status_after_intervention,follow_up_date,fse_name,notes,intervention_start,intervention_end,duration,resolution_time_min
fse_reports.xlsx,FSE-01001,AU5800 , CH-87236-014 ,On-site Visit,Human history wonder other too feeling officer natural hard.,Root cause of low wash buffer in CH-87236-014,Replaced None and recalibrated,None,N/A,Partially Operational,2025-08-29,Zeta Montevideo ,Mr per employee forward drug leg tell where that.,6/3/2025 6:08,6/3/2025 9:08,0.03:00:00,180
fse_reports.xlsx,FSE-01002,AU5800 , CH-38893-012 ,Preventive Maintenance,Story move ability magazine including save item allow student ready.,Root cause of door jammed in CH-38893-012,Replaced heating element and recalibrated,heating element,09UYG3IB,Operational,No,Delta Buenos Aires ,Thought try Republican particular current amount close pass lawyer one picture.,7/5/2025 9:04,7/5/2025 11:05,0.02:01:00,121
fse_reports.xlsx,FSE-01003,AU5800 , CH-87236-014 ,Preventive Maintenance,Already grow standard cover get stand.,Root cause of door jammed in CH-87236-014,Replaced thermostat and recalibrated,thermostat,QXIEE6HW,Partially Operational,2025-09-02,Gamma Santiago ,Join letter send bit poor heavy must street maintain body should yet.,7/8/2025 7:08,7/8/2025 9:26,0.02:18:00,138
fse_reports.xlsx,FSE-01004,AU5800 , CH-40495-003 ,Preventive Maintenance,Draw theory mention bar interest.,Root cause of read error in CH-40495-003,Replaced barcode PCB and recalibrated,barcode PCB,6RANTY6D,Operational,No,Beta Bogotá ,Risk out hear behind each other direction.,5/26/2025 17:13,5/26/2025 19:06,0.01:53:00,113
fse_reports.xlsx,FSE-01005,Cobas 8000 , CH-88907-005 ,Remote Support,Water early approach employee church drive decision suffer lawyer early.,Root cause of low wash buffer in CH-88907-005,Replaced None and recalibrated,None,N/A,Partially Operational,No,Gamma Santiago ,Street great toward life product hotel nearly party so shake lot.,6/24/2025 10:23,6/24/2025 14:29,0.04:06:00,246
fse_reports.xlsx,FSE-01006,Cobas 8000 , CH-68878-013 ,Remote Support,Want purpose song start travel.,Root cause of pump failure in CH-68878-013,Replaced encoder motor and recalibrated,encoder motor,Q3VXHQG4,Partially Operational,2025-08-31,Zeta Montevideo ,Win season with something director major no simple wife idea office live central.,7/11/2025 8:16,7/11/2025 12:12,0.03:56:00,236
fse_reports.xlsx,FSE-01007,ACL TOP 750 , CH-81426-010 ,On-site Visit,Mean put onto street one form wall.,Root cause of read error in CH-81426-010,Replaced barcode PCB and recalibrated,barcode PCB,01AONT75,Operational,No,Alpha Lima ,Option Democrat culture coach lay event oil our appear over nor act.,5/24/2025 14:15,5/24/2025 17:14,0.02:59:00,179
fse_reports.xlsx,FSE-01008,AU5800 , CH-95181-009 ,Remote Support,Within ahead apply break late likely guess edge page.,Root cause of door jammed in CH-95181-009,Replaced thermostat and recalibrated,thermostat,R6U0ESTI,Operational,No,Alpha Lima ,Movement size scene continue into color trade reflect possible.,5/27/2025 0:16,5/27/2025 1:51,0.01:35:00,95
fse_reports.xlsx,FSE-01009,Cobas 8000 , CH-38893-012 ,Preventive Maintenance,Available north laugh subject make up help heart.,Root cause of sensor misalignment in CH-38893-012,Replaced None and recalibrated,None,N/A,Not Resolved,No,Zeta Montevideo ,Traditional figure peace more live city likely force son.,6/1/2025 18:42,6/1/2025 19:57,0.01:15:00,75
fse_reports.xlsx,FSE-01010,Cobas 8000 , CH-83563-007 ,On-site Visit,Network employee how start staff capital discuss cold.,Root cause of read error in CH-83563-007,Replaced None and recalibrated,None,N/A,Partially Operational,2025-08-29,Iota La Paz ,Senior direction town soon capital bring.,6/2/2025 21:16,6/2/2025 22:32,0.01:16:00,76
